Speed,Throttle,Brake,RPM,nGear,DRS,Distance,Driver,Lap,Year,Track,Time_s
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,572.329
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,572.46
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,572.66
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,572.729
0.0,104.0,True,0.0,0,1,3120.4627777777773,OCO,1.0,2024,Monaco,572.881
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.049
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.081
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.369
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.58
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,573.681
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.769
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,573.84
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,574.08
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,574.129
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,574.261
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,574.369
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,574.561
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,574.769
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,574.821
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.009
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,575.021
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.169
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.361
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.489
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.81
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.821
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,575.97
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,576.021
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.25
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.301
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.45
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.561
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.769
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,576.801
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,576.929
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,577.169
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,577.182
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,577.449
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,577.461
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,577.609
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,577.82
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,577.849
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,578.049
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,578.12
